"name","category","image","description"
"2KVA Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Compact and efficient gasifier ideal for small-scale power production."
"4kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Efficient energy solution for rural and semi-urban areas with minimal environmental impact."
"5kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Ideal for small businesses requiring reliable power supply with environmental benefits."
"8kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Robust and scalable energy solution for growing energy demands in off-grid locations."
"10kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Perfect for medium-scale agricultural or manufacturing operations requiring clean energy."
"12.5 Kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Enhanced capacity for larger facilities needing sustainable power options."
"24 Kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","High-efficiency design for industrial applications with significant energy needs."
"28 Kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Advanced technology for consistent and reliable green energy production."
"40kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Large-scale solution for comprehensive energy generation requirements."
"50kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Capable of supporting substantial operations with a clean, renewable energy source."
"100 Kw Biomass Gasifier Set","Biomass Gasifiers","../assets/products/biomass-gasifiers/biomass-gasifier.jpeg","Top-of-the-line model for maximum efficiency and power output in heavy industrial uses."
"10000kcal/hr Based Biomass Gasifier","Thermal Applications","../assets/products/thermal-applications/thermal-gasifier.jpeg","Ideal for heating solutions in small setups requiring temperature control."
"50000kcal/hr Based Biomass Gasifier","Thermal Applications","../assets/products/thermal-applications/thermal-gasifier.jpeg","Medium capacity for effective thermal management in various industrial processes."
"100000kcal/hr Based Biomass Gasifier","Thermal Applications","../assets/products/thermal-applications/thermal-gasifier.jpeg","High-capacity gasifier for extensive thermal applications in industrial settings."
"200000kcal/hr Based Biomass Gasifier","Thermal Applications","../assets/products/thermal-applications/thermal-gasifier.jpeg","Robust model for large-scale heating needs, offering superior performance and reliability."
"500000kcal/hr Based Biomass Gasifier","Thermal Applications","../assets/products/thermal-applications/thermal-gasifier.jpeg","Top-tier model for critical thermal applications requiring maximal thermal output and efficiency."
"2kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Compact solution for small-scale biogas energy conversion."
"5kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Ideal for homes and small businesses looking to utilize biogas effectively."
"7.5kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Enhanced power generation for more demanding small-scale applications."
"10kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Reliable and powerful generator set for efficient biogas energy conversion."
"12.5kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Mid-range capacity perfect for medium-sized operations using biogas."
"15kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Strong and dependable for larger facilities needing sustainable energy solutions."
"30kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","High-capacity unit designed for extensive energy needs in commercial and industrial settings."
"35kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Powerful generator for robust energy production, ensuring operational efficiency."
"50kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Top-of-the-line biogas generator for large-scale energy demands."
"125kva Biogas Genset","Biogas Generators","../assets/products/biogas-generators/biogas-genset.jpeg","Premium model for maximum energy output from biogas conversion, suitable for large industries."
"Smokeless Domestic Biomass Stove - Bio-Nature","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Eco-friendly stove that significantly reduces smoke, enhancing indoor air quality."
"Forced Draft – Bio-Mini","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Compact and efficient for smaller kitchens, reducing emissions and fuel use."
"Forced Draft – Bio-Mini Solar","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Innovative solar-powered stove, perfect for energy-conscious households."
"Green-Agnika10","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Ideal for commercial settings, offering high-efficiency cooking with minimal smoke."
"Harit- Agni12","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Durable and robust, designed for extensive use in larger kitchens."
"Harit-Agni12b","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Enhanced version of the Harit-Agni12, with improved features and efficiency."
"Green-Magic15","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Large-capacity stove for high-demand cooking environments, ensuring clean operation."
"Bio-Virat18","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","High-performance model for intensive use, offering superior cooking and low emissions."
